Location,Year,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,latitude,longitude
Russian Federation,2016,23.1,19.3,27.1,23.1[19.3-27.1],61.52401,105.318756
Rwanda,2016,5.8,4,8.1,5.8[4-8.1],-1.940278,29.873888
Saint Kitts and Nevis,2016,22.9,17.6,28.9,22.9[17.6-28.9],17.357822,-62.782998
Saint Lucia,2016,19.7,14.9,25,19.7[14.9-25],13.909444,-60.978893
Saint Vincent and the Grenadines,2016,23.7,18.4,29.8,23.7[18.4-29.8],12.984305,-61.287228
Samoa,2016,47.3,41.5,53.4,47.3[41.5-53.4],-13.759029,-172.104629
San Marino,2016,,,,[-],43.94236,12.457777
Sao Tome and Principe,2016,12.4,9.1,16.3,12.4[9.1-16.3],0.255436,6.602781
Saudi Arabia,2016,35.4,31,39.8,35.4[31-39.8],23.885942,45.079162
Senegal,2016,8.8,6.3,11.8,8.8[6.3-11.8],14.497401,-14.452362
Serbia,2016,21.5,17.4,25.9,21.5[17.4-25.9],44.016521,21.005859
Seychelles,2016,14,10.5,17.9,14[10.5-17.9],-4.679574,55.491977
Sierra Leone,2016,8.7,6.2,11.5,8.7[6.2-11.5],8.460555,-11.779889
Singapore,2016,6.1,4.2,8.3,6.1[4.2-8.3],1.352083,103.819836
Slovakia,2016,20.5,16.3,25.1,20.5[16.3-25.1],48.669026,19.699024
Slovenia,2016,20.2,15.4,25.4,20.2[15.4-25.4],46.151241,14.995463
Solomon Islands,2016,22.5,17.5,27.9,22.5[17.5-27.9],-9.64571,160.156194
Somalia,2016,8.3,5.5,11.6,8.3[5.5-11.6],5.152149,46.199616
South Africa,2016,28.3,24.6,32.1,28.3[24.6-32.1],-30.559482,22.937506
South Sudan,2016,,,,[-],4.859363,31.571251
Spain,2016,23.8,20.2,27.4,23.8[20.2-27.4],40.463667,-3.74922
Sri Lanka,2016,5.2,3.6,7.4,5.2[3.6-7.4],7.873054,80.771797
Sudan,2016,,,,[-],12.862807,30.217636
Suriname,2016,26.4,21.2,31.8,26.4[21.2-31.8],3.919305,-56.027783
Sweden,2016,20.6,17.1,24.3,20.6[17.1-24.3],60.128161,18.643501
Switzerland,2016,19.5,16,23.3,19.5[16-23.3],46.818188,8.227512
Syrian Arab Republic,2016,27.8,22.5,33.5,27.8[22.5-33.5],34.802075,38.996815
Tajikistan,2016,14.2,10.4,18.7,14.2[10.4-18.7],38.861034,71.276093
Thailand,2016,10,7.4,13.1,10[7.4-13.1],15.870032,100.992541
Timor-Leste,2016,3.8,2.4,5.6,3.8[2.4-5.6],-8.874217,125.727539
Togo,2016,8.4,5.9,11.4,8.4[5.9-11.4],8.619543,0.824782
Tonga,2016,48.2,41.8,54,48.2[41.8-54],-21.178986,-175.198242
Trinidad and Tobago,2016,18.6,13.6,24.3,18.6[13.6-24.3],10.691803,-61.222503
Tunisia,2016,26.9,22.1,31.7,26.9[22.1-31.7],33.886917,9.537499
Turkey,2016,32.1,28.3,36.1,32.1[28.3-36.1],38.963745,35.243322
